,Score,Passing,Rushing,Scoring,Punting,Downs,Week,Day,Date,OT,Opp,Tm,Cmp,Att,Yds,TD,Int,Sk,Y/A,NY/A,Cmp%,Rate,FGM,FGA,Boxscore URL
4,September 8,boxscore,W,,,Atlanta Falcons,12,33,46,2,5.4,6.6,71.7,130,2,2,4.3,0,8,0,0,4,2,30:13,
2,September 15,boxscore,L,,@,Green Bay Packers,21,22,34,0,5.3,6.1,64.7,381,5,0,4.4,1,15,3,3,8,1,34:06,
4,September 22,boxscore,W,,,Oakland Raiders,14,27,34,1,5.6,7.1,79.4,217,3,2,4.4,0,11,2,2,4,3,28:28,
1,September 29,boxscore,L,,@,Chicago Bears,16,24,33,0,5.8,6.2,72.7,241,5,2,2.2,0,16,1,1,5,3,35:27,
4,October 6,boxscore,W,,@,New York Giants,10,21,38,1,3.5,4.8,55.3,134,8,0,3.2,0,16,1,1,3,3,27:20,
2,October 13,boxscore,W,,,Philadelphia Eagles,20,26,41,2,6.8,7.5,63.4,131,4,1,4.9,0,12,2,2,3,3,27:56,
2,October 20,boxscore,W,,@,Detroit Lions,30,30,45,1,7.5,8.1,66.7,150,6,0,4.1,0,11,3,3,3,1,27:50,
4,October 24,boxscore,W,,,Washington Redskins,9,15,21,1,5.2,7.8,71.4,107,2,0,5.3,0,7,0,0,2,0,23:24,
5,November 3,boxscore,L,,@,Kansas City Chiefs,26,25,35,0,5.8,7.9,71.4,251,4,1,8.2,1,13,2,2,5,1,31:48,
1,November 10,boxscore,W,,@,Dallas Cowboys,24,28,47,1,8.2,8.4,59.6,72,9,0,2.3,0,15,3,3,2,2,26:33,
2,November 17,boxscore,W,,,Denver Broncos,23,18,40,1,6.4,7.0,45.0,105,5,4,3.8,1,18,2,2,3,4,36:43,
2,December 2,boxscore,L,,@,Seattle Seahawks,37,21,31,1,6.8,7.7,67.7,126,7,1,5.1,2,15,4,4,3,1,39:45,
5,December 8,boxscore,W,,,Detroit Lions,7,24,40,2,3.6,5.1,60.0,347,7,1,3.2,0,16,1,1,7,1,26:17,
3,December 15,boxscore,W,,@,Los Angeles Chargers,10,28,39,3,6.7,7.9,71.8,26,6,1,3.3,0,11,1,1,1,2,27:39,
3,December 23,boxscore,L,,,Green Bay Packers,23,26,40,1,4.6,5.4,65.0,234,5,0,5.8,2,14,0,1,5,0,37:32,
4,December 29,boxscore,L,,,Chicago Bears,21,26,37,0,4.4,5.6,70.3,111,7,1,4.6,1,16,1,1,2,2,37:40,
4,September 11,boxscore,W,,,Green Bay Packers,7,26,39,1,5.3,6.7,66.7,179,3,0,6.2,1,9,1,1,4,2,28:37,
3,September 19,boxscore,L,,@,Philadelphia Eagles,24,26,31,1,9.5,10.7,83.9,179,7,0,4.8,2,13,3,3,4,0,36:14,
0,September 25,boxscore,W,,,Detroit Lions,24,25,41,1,6.8,6.8,61.0,134,3,4,4.0,2,16,3,3,3,6,34:04,
2,October 2,boxscore,W,,@,New Orleans Saints,25,20,28,0,7.6,8.4,71.4,194,4,1,4.1,2,10,2,2,4,1,27:47,
2,October 9,boxscore,W,,,Chicago Bears,22,15,21,0,8.4,9.9,71.4,112,4,1,3.3,1,10,1,1,2,1,23:16,
6,October 16,boxscore,W,,@,Miami Dolphins,16,30,47,2,7.3,8.9,63.8,307,4,1,3.7,0,14,1,1,6,2,35:29,
4,October 30,boxscore,W,,,Arizona Cardinals,26,31,44,2,6.2,7.4,70.5,139,4,0,3.5,0,11,2,2,3,1,30:33,
3,November 6,boxscore,W,,@,Washington Commanders,17,15,28,1,4.1,5.3,53.6,240,3,0,4.6,0,10,2,2,5,1,30:47,
2,November 13,boxscore,W,OT,@,Buffalo Bills,30,29,43,2,6.9,7.7,67.4,152,7,0,6.5,2,13,3,3,3,1,33:46,
0,November 20,boxscore,L,,,Dallas Cowboys,40,26,30,0,10.2,10.2,86.7,101,12,0,3.8,2,17,4,4,2,0,37:24,
3,November 24,boxscore,W,,,New England Patriots,26,28,39,0,8.7,9.8,71.8,123,3,0,3.5,0,10,2,2,3,1,23:43,
1,December 4,boxscore,W,,,New York Jets,22,31,58,2,6.2,6.4,53.4,81,3,2,5.0,1,16,1,1,2,5,31:38,
0,December 11,boxscore,L,,@,Detroit Lions,34,27,39,0,8.5,8.5,69.2,96,7,1,4.5,1,15,4,4,2,2,31:54,
3,December 17,boxscore,W,OT,,Indianapolis Colts,36,19,33,0,4.7,5.5,57.6,305,6,0,4.0,0,19,3,3,7,1,36:37,
3,December 24,boxscore,W,,,New York Giants,24,30,42,1,7.1,8.0,71.4,129,3,1,6.0,1,11,1,1,4,1,29:13,
1,January 1,boxscore,L,,@,Green Bay Packers,41,17,27,0,5.4,6.2,63.0,81,7,0,4.9,2,12,5,5,3,1,34:04,
1,January 8,boxscore,W,,@,Chicago Bears,13,13,27,2,5.0,5.4,48.1,111,2,0,5.4,1,9,1,1,3,3,23:24,
